fir_id,name,age,gender,category
1,Priya Nayak,70,Female,SENIOR_CITIZEN
2,Margaret D'Souza,71,Male,SENIOR_CITIZEN
3,Kiran K.,38,Male,GENERAL
4,Vijay Patil,65,Female,SENIOR_CITIZEN
5,Priya Nayak,39,Female,WOMAN
6,Kiran K.,60,Male,GENERAL
7,Sita Gowda,19,Male,GENERAL
8,Kiran K.,64,Male,SENIOR_CITIZEN
9,Vijay Patil,46,Female,WOMAN
10,Kiran K.,54,Female,WOMAN
11,Abdul Rahim,31,Female,WOMAN
12,Margaret D'Souza,39,Female,WOMAN
13,Priya Nayak,45,Female,WOMAN
14,Sunitha R.,48,Male,GENERAL
15,Priya Nayak,56,Male,GENERAL
16,Ramesh Kumar,70,Female,SENIOR_CITIZEN
17,Vijay Patil,70,Male,SENIOR_CITIZEN
18,Ananya Hegde,62,Female,SENIOR_CITIZEN
19,Priya Nayak,66,Male,SENIOR_CITIZEN
20,Vijay Patil,52,Male,GENERAL
21,Ramesh Kumar,50,Male,GENERAL
22,Ramesh Kumar,18,Female,WOMAN
23,Priya Nayak,70,Male,SENIOR_CITIZEN
24,Vijay Patil,29,Male,GENERAL
25,Ramesh Kumar,51,Male,GENERAL
26,Kiran K.,39,Male,GENERAL
27,Kiran K.,49,Female,WOMAN
28,Priya Nayak,24,Male,GENERAL
29,Ananya Hegde,50,Male,GENERAL
30,Mohammad Ali,73,Male,SENIOR_CITIZEN
31,Vijay Patil,27,Female,WOMAN
32,Margaret D'Souza,50,Male,GENERAL
33,Margaret D'Souza,60,Female,WOMAN
34,Vijay Patil,57,Female,WOMAN
35,Ramesh Kumar,40,Male,GENERAL
36,Vijay Patil,50,Male,GENERAL
37,Ananya Hegde,32,Male,GENERAL
38,Ramesh Kumar,27,Male,GENERAL
39,Mohammad Ali,54,Male,GENERAL
40,Ramesh Kumar,24,Male,GENERAL
41,Vijay Patil,27,Female,WOMAN
42,Vijay Patil,50,Male,GENERAL
43,Kiran K.,49,Male,GENERAL
44,Vijay Patil,37,Female,WOMAN
45,Sita Gowda,62,Male,SENIOR_CITIZEN
